Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_AdjClose,UAL_Volume,SAVE_Open,SAVE_High,SAVE_Low,SAVE_Close,SAVE_AdjClose,SAVE_Volume,AAL_Open,AAL_High,AAL_Low,AAL_Close,AAL_AdjClose,AAL_Volume,DAL_Open,DAL_High,DAL_Low,DAL_Close,DAL_AdjClose,DAL_Volume,LUV_Open,LUV_High,LUV_Low,LUV_Close,LUV_AdjClose,LUV_Volume,JBLU_Open,JBLU_High,JBLU_Low,JBLU_Close,JBLU_AdjClose,JBLU_Volume,UALSocialMedia,SAVESoicalMedia,AALSocialMedia,DALSocialMedia,LUVSocialMedia,JBLUSocialMedia
10/5/15,52.029999,56.099998,49.759998,55.709999,55.709999,37033000,47.880001,51.279999,46.910000,50.799999,50.799999,4560300,38.900002,42.490002,37.759998,42.419998,40.451252,58064900,45.220001,47.330002,44.470001,47.209999,42.794849,49068900,38.650002,40.360001,37.570000,39.939999,38.125168,39943200,26.490000,26.780001,24.850000,26.100000,26.100000,37394100,15,6,21,17,26,9
10/12/15,56.099998,58.750000,55.049999,55.970001,55.970001,37033400,50.799999,51.259998,42.340000,42.380001,42.380001,10547500,42.590000,44.500000,42.520000,43.709999,41.681381,55577700,47.520000,49.480000,47.520000,49.119999,44.526230,62204200,39.880001,41.490002,39.880001,40.560001,38.716999,34676200,26.219999,27.090000,23.629999,24.100000,24.100000,49909100,15,6,21,17,31,8
10/19/15,55.900002,59.799999,54.139999,59.680000,59.680000,41190500,42.900002,44.500000,39.119999,39.790001,39.790001,11939200,43.830002,46.419998,43.619999,45.669998,43.550407,58207100,49.209999,51.660000,49.130001,51.000000,46.230412,48377700,40.560001,45.400002,40.520000,45.230000,43.174786,44002400,24.230000,25.270000,23.990000,24.969999,24.969999,30332500,15,6,21,16,24,8
10/26/15,59.419998,61.869999,58.599998,60.310001,60.310001,27644600,39.209999,39.500000,33.799999,37.119999,37.119999,23486100,45.360001,46.770000,44.990002,46.220001,44.074883,39304100,50.889999,51.480000,49.540001,50.840000,46.085373,33609900,45.080002,46.950001,44.750000,46.290001,44.186623,31971300,25.280001,26.270000,23.790001,24.840000,24.840000,48974600,14,6,19,15,24,8
11/2/15,60.610001,61.750000,59.689999,61.490002,61.490002,26095800,36.820000,37.669998,34.290001,36.560001,36.560001,10485800,46.200001,47.090000,45.029999,45.340000,43.235729,38788200,50.900002,52.000000,50.320000,51.200001,46.411713,39002500,46.470001,47.320000,46.310001,46.849998,44.721180,25616000,24.990000,26.299999,24.920000,26.090000,26.090000,39572200,14,6,20,16,25,8
11/9/15,61.160000,61.419998,58.439999,58.799999,58.799999,14185700,36.419998,36.599998,33.130001,33.770000,33.770000,7198600,45.169998,45.209999,43.119999,43.450001,41.522804,31000100,50.930000,51.000000,48.750000,48.990002,44.526260,37581900,46.720001,47.240002,45.619999,45.889999,43.804798,22795500,26.000000,26.879999,25.100000,25.200001,25.200001,26449700,15,5,19,15,23,8
11/16/15,57.369999,59.299999,56.509998,58.810001,58.810001,22286200,33.419998,37.410000,32.730000,36.160000,36.160000,12159900,42.410000,43.459999,41.009998,42.200001,40.328247,43070200,47.860001,49.060001,46.650002,48.759998,44.317207,48444600,45.259998,47.400002,44.680000,47.320000,45.169823,26566000,24.889999,26.100000,24.530001,25.850000,25.850000,26275900,14,6,19,15,23,8
11/23/15,58.849998,59.230000,55.930000,56.820000,56.820000,16127900,36.040001,37.240002,34.990002,36.200001,36.200001,5242300,42.110001,42.740002,40.450001,41.689999,39.840862,19087300,49.000000,49.189999,46.369999,47.139999,42.844818,27701500,47.450001,47.759998,45.410000,45.820000,43.737984,20198100,25.959999,26.110001,24.750000,25.219999,25.219999,15194000,13,5,18,13,21,7
11/30/15,56.820000,59.340000,55.529999,58.939999,58.939999,23721300,35.259998,43.669998,35.250000,43.009998,43.009998,14617500,41.750000,44.990002,40.980000,44.970001,42.975384,40070400,47.209999,49.799999,46.439999,49.779999,45.244267,52287700,45.900002,49.450001,45.400002,49.410000,47.164864,31784500,25.350000,26.150000,24.600000,25.480000,25.480000,29981200,14,5,19,15,23,8
12/7/15,59.959999,61.490002,56.910000,57.029999,57.029999,26856000,43.570000,44.450001,38.639999,41.590000,41.590000,11804200,45.349998,46.490002,42.060001,42.090000,40.223133,44147200,50.270000,51.919998,49.139999,49.279999,44.789833,54184600,49.880001,51.340000,43.220001,43.419998,41.447037,54730700,25.840000,27.000000,23.420000,23.440001,23.440001,43745300,13,5,17,14,22,7
